Live chat ID,Channel ID,Live chat create timestamp,Price,Parent live chat ID,Video ID,Live chat text
Ugxe3Qcz5SYksV2iIJ94AaABDqgBhqaGhQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:40:44.198272+00:00,0,,7cKWX3K8458,"{""text"":""fr""}"
UgxVxsSlQiaowbUL4sZ4AaABDqgBpbqWmwI.~EPzHv8eGrpXsqAEoAQ.ADyjpl1lKck,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:38:08.261633+00:00,0,UgxVxsSlQiaowbUL4sZ4AaABDqgBpbqWmwI,7cKWX3K8458,"{""text"":""well you're wrong with \""you can't help what doesn't want to be helped\""""}"
UgwLkkRqxTvRmccmFzR4AaABDqgBq_-OlQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:36:58.481482+00:00,0,,7cKWX3K8458,"{""text"":""RIP""}"
UgzcGy8FQr146TWGh4d4AaABDqgBh8O_lgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:36:19.852463+00:00,0,,7cKWX3K8458,"{""text"":""W""}"
UgzUGfDmsbRA7xmRnqZ4AaABDqgB3tSYlQI.~EPq2ze2zjOO3fygB.ADydHpG8pIq,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T19:40:56.354695+00:00,0,UgzUGfDmsbRA7xmRnqZ4AaABDqgB3tSYlQI,7cKWX3K8458,"{""text"":""thanks, it just looks like Xiaomi logo""}"
UgzOa5u2J1xrxz-Rp2h4AaABDqgB75m6lQI.~ELes7cDmhICKXigB.ADyd-CUdFQS,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T19:38:23.807926+00:00,0,UgzOa5u2J1xrxz-Rp2h4AaABDqgB75m6lQI,7cKWX3K8458,"{""text"":""Xiaomi currency 💀""}"
UgyoJSCdNK6PFmKlZLp4AaABDqgB0LHWgwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T19:32:33.649488+00:00,0,,7cKWX3K8458,"{""text"":""yo mine's 240p and I can't change quality""}"
UgzRByN2Xkioqmml3xB4AaABDqgB27_YhAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:58:01.323356+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
UgxklY4-w8AKEXzeyd54AaABDqgBt9GJkgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:57:54.357085+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
UgxUrG589WkGe2ah9lF4AaABDqgBg8W1gwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:57:46.16648+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
UgwUbqBERBQvYbcHdb14AaABDqgBy82XkgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:57:37.794986+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
Ugx8bJIlmUmGuMnD6iV4AaABDqgB5riVnAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:57:28.277597+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
UgwQoEVCfXpFV0D4bzp4AaABDqgBhrmHlAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:57:17.46826+00:00,0,,TroagaJvgqg,"{""text"":""E""}"
UgxKlBTqeHzj8G3tK0l4AaABDqgB17CNhgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-29T19:48:03.306117+00:00,0,,TroagaJvgqg,"{""text"":""W""}"
Ugw40whg7purA5DGWMp4AaABDqgBvPGBiwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:32:44.838077+00:00,0,,buXHxYCl8o8,"{""text"":""everything on the internet spies on you""}"
UgwK5y-Y1oJ5iu-w-5d4AaABDqgB9qiuhAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:32:00.148603+00:00,0,,buXHxYCl8o8,"{""text"":""NATIONAL SECURITY CONCERNS""}"
UgwhsYAdiyk6GRWlBV54AaABDqgBzf6VnAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:31:09.534449+00:00,0,,buXHxYCl8o8,"{""text"":""last 6 hour doom scroll""}"
UgyodFh0fSG4-2b46VN4AaABDqgBm_2WhQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:30:43.319074+00:00,0,,buXHxYCl8o8,"{""text"":""delay bruv""}"
