Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
UgyNC3HhaB4XtgRjZHx4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T01:27:28.014751+00:00,0,,,WE4pyK2sEXY,"{""text"":""Bro turned on DLSS and RayTracing and PathTracing""}",
UgxY8qR6p8PFOY1sVhR4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T17:14:00.303002+00:00,0,,,ljhdGBXVI8I,"{""text"":""For those who think it came from Toriko no Kusari, it's not. The origin is still unknown, it may or may not be from a hentai/anime but one thing is for certain, it's an overexaggerated sound made to sound inappropriate for comedic purposes""}",
Ugx03eUXtqP9jLWny4J4AaABAg.ADh7TVGZutLAEw85kVIeZp,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:52:34.760413+00:00,0,Ugx03eUXtqP9jLWny4J4AaABAg,,NJGKOqCJUuY,"{""text"":""Yamete kudassai~ ughhh~!""}",Ugx03eUXtqP9jLWny4J4AaABAg
Ugy6ciAI5Fl1cqqD3Yh4AaABAg.9RgzH6JcZ6PAEw8-LxDquh,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:51:42.328771+00:00,0,Ugy6ciAI5Fl1cqqD3Yh4AaABAg,,NJGKOqCJUuY,"{""text"":""It's actually for everyone's safety, something like the Akihabara massacre back in 2008 will be prevented""}",Ugy6ciAI5Fl1cqqD3Yh4AaABAg
UgzmGsVKg5ofQD4kVJl4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:42:04.165312+00:00,0,,,WwXeryBKTAc,"{""text"":""Lol where's your \""God\"" to save you? Ohh never mind he's gonna get surgery""}",
Ugznryn9nfdI6Dq7BmZ4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:34:44.910126+00:00,0,,,MGAyYrc0h-0,"{""text"":""Nile: \""powdered aerogel\""""},{""text"":""\n""},{""text"":""Me: ""},{""text"":""snorts""},{""text"":"" ""},{""text"":""snorts""}",
Ugwq6oV6awJGLOCW_qF4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:30:56.932786+00:00,0,,,9eQq2kvRTsc,"{""text"":""That energy has no rights""}",
Ugyy7D8YfDSqqDmhAo14AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T16:25:15.446029+00:00,0,,,raxKkzuTQXY,"{""text"":""How I feel after drinking grape juice from wine glass""}",
UgwLS7NKcxmgv0XPYjV4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T15:26:27.584929+00:00,0,,,wSHmygPQukQ,"{""text"":""GTA 7 minimum requirements""}",
UgzJJPMto7OXzGeAvpR4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-24T15:20:39.211224+00:00,0,,,Q4xCR20Dh1E,"{""text"":""Okay it's faster than supercomputers... But can it run Cyberpunk at 4k 60fps?""}",
